keywords,sentence
feed park pigeon,flock of pigeons feeding in the grass of public park
car move track,cars moving along the tracks .
car move track,A boy is moving toy cars on a toy car track.
car move track,A trolley car moves down the tracks in a city.
park skate skateboarder,A skateboarder skating at a skate park.
park skate skateboarder,A group of skateboarders are skating at the park.
park skate skateboarder,A skateboarder skates next to a ledge in a skate park.
carpet dog lie,Two dogs lay on the carpet.
carpet dog lie,boy and his dog lying on a carpet
carpet dog lie,old sad grey and black dog lies on a carpet
carpet furniture room,A live room with beige furniture and carpets
carpet furniture room,A large living room has a lot of furniture and carpet.
carpet furniture room,A man is vaccuming the carpet in a room with no furniture.
carrot eat rabbit,a rabbit is eating a carrot
carrot eat rabbit,a group of rabbits eat carrots
carrot eat rabbit,bunny rabbit eating carrot in the garden
boxer fight ring,boxers fighting in a ring
boxer fight ring,boxers fight on the boxing ring
boxer fight ring,A pair of kick boxers fighting inside of the ring.
skate skateboarder street,A skateboarder skating down a street.
skate skateboarder street,The skateboarder skated down the street.
skate skateboarder street,The skateboarders skate through the city streets.
boat fly seagull,Seagulls fly over a boat.
boat fly seagull,a fishing boat with seagulls flying around
boat fly seagull,There are lots of seagulls flying near a boat.
room spend time,spend some time with us in our living room .
room spend time,way too much time spent in this room every day
rain stop wait,waiting for the rain to stop
rain stop wait,school girls wait for the rain to stop before continuing with class
rain stop wait,Five men wait in a tunnel for the rain to stop during their bike race
bake bread oven,bread baked in an old oven
bake bread oven,A woman is baking bread in the oven.
bake bread oven,Two loaves of bread baking in an oven.
cheese oven pizza,a cheese and pepperoni pizza in an oven
cheese oven pizza,Cheese and herb pizza fresh from the oven.
cheese oven pizza,An oven filled with three pizzas covered in cheese.
carpet room wall,A room with stone walls and colorful carpet.
carpet room wall,A man is installing carpet along a wall in a room.
carpet room wall,A wildly decorated living room with a carpet on the wall!
skier sky slope,skier on a slope against the cloudy sky
skier sky slope,A skier is headed down a slope on her skies.
skier sky slope,A jet in the sky and some skiers on snowy slopes
light shine sky,A dim light shines on the dark sky.
light shine sky,flight through shining lights in the sky
light shine sky,A bright white light shines in front of a cloudy sky.
hill sheep walk,Three sheep walk on the hill.
hill sheep walk,a herd of sheep walk on a grassy hill
hill sheep walk,A dark sheep is walking over the hill.
boat fly plane,A plane flies over a boat.
boat fly plane,a large boat with a plane flying above
boat fly plane,a blue and red plane is flying by a boat
beach bench overlook,A bench on a hill overlooking a beach.
beach bench overlook,A tree and some benches overlook the beach
beach bench overlook,This is an image of a bench overlooking a beach.
book shelf stand,book standing on a shelf
book shelf stand,A cat stands on a shelf full of books.
book shelf stand,the book standing up in a white shelf .
dive diver water,The diver dives out into the water.
dive diver water,We see the divers dive in the water.
dive diver water,group of divers before diving into the water
cheese pizza put,putting cheese on the pizza
cheese pizza put,A woman is putting cheese on a pizza.
cheese pizza put,A female child putting cheese on poorly made pizzas.
grab hand reach,A hand reaches and grabs him.
grab hand reach,He reaches up to grab someone's hand.
grab hand reach,hands of zombie reaching out to grab a gift box
canoe lake sit,A man sits in a canoe on a lake.
canoe lake sit,canoes sit on the shore of a lake .
canoe lake sit,Two men in two canoes are sitting in a lake.
move rail train,freight train moving on the rails
move rail train,a train moving along the rail with many besides
station subway wait,People wait outside a subway that is in the station.
station subway wait,A subway station with a subway waiting for passengers.
station subway wait,People are waiting on the subway to stop at the station.
computer lady work,old lady working hard on computers
computer lady work,a lady works on her computer at dusk visible
color die hair,if i ever die my hair it gon na be this color
color die hair,we had a fun afternoon of dying our hair funky colors
color die hair,A man is dying the hair of a woman with a very rich purple color
enter train tunnel,A train gets ready to enter a tunnel.
enter train tunnel,a train enters the train station in a tunnel
eat hay trough,goat eats hay from the trough
eat hay trough,a giraffe eating some hay out of a trough
eat hay trough,The sheep are eating hay in from a trough.
lake pier sit,Two people sit on a pier at a lake.
lake pier sit,little boy sitting on the pier of the lake
lake pier sit,young woman sits on a wooden pier on the lake
computer library work,adults working on computers in a library
computer library work,students work at a row of computers in the library
hair section separate,She separates her hair into sections.
hair section separate,"A woman is working on her hair, separating it into sections."
hair section separate,an image of a model demonstrating how to separate hair into sections .
head poke window,A man pokes his head out of a window.
head poke window,A horse's head poking through a window in a barn
head poke window,a zebra that has his head poked through the window
ground lie sheep,flock of sheep lying on the ground
ground lie sheep,many white sheep lying on a rocky ground
ground lie sheep,Two sheep lay on the ground next to each other.
cat leg sleep,our cat sleeps on the legs of our cat
cat leg sleep,A baby with its leg over a sleeping cat.
cat leg sleep,tree is a cat sleeping between someones legs
grass lie tree,Sheep lie in the shady grass around a tree.
grass lie tree,A ginger cat lying in green grass under a tree
grass lie tree,young kangaroo lying down in the grass under trees
cat sleep tree,cat sleeping in a tree
cat sleep tree,a sleeping cat against the cherry trees
lake shore walk,Men walk along the shore of the lake.
lake shore walk,boys walking on the shore beside lake
lake shore walk,a woman walking by the shores of deepest lake
airplane fly moon,acrobatic airplane flying around the moon
airplane fly moon,An airplane flying over a big harvest moon
building lead road,road leads to a building and sunrise
building lead road,road leading up to the high rise buildings
building lead road,The road leads toward a tall white building.
airport luggage passenger,passengers collecting luggage at an airport
airport luggage passenger,passengers waiting for their luggage at the airport
airport luggage passenger,A group of passengers and their luggage at an airport.
day mountain ski,A man skis down a mountain on a snowy day.
day mountain ski,a woman skiing on a clear day in mountains
day mountain ski,a group of people ski down a mountain during the day
come stop train,the subway train comes to a stop
come stop train,a blue and white passenger train coming to a stop
come stop train,Several trains coming to a complete stop on the tracks.
lady push wheelchair,A lady is pushing a wheelchair.
lady push wheelchair,A boy is pushing an old lady in a wheelchair through the hallway.
lady push wheelchair,woman with dogs trying to push an elderly lady in wheelchair through gate
beach lay towel,little girl lays towel on the beach
beach lay towel,a white towel is laid out on the beach
beach lay towel,A man and woman are laying towels down at the beach.
road run sheep,run off the road by sheep
road run sheep,sheep running alongside a road
road run sheep,A small herd of sheep run down the road.
fishing fly lake,One man fly fishing on a lake.
fishing fly lake,autumn fly fishing in the lake
fishing fly lake,fly fishing at a mountain lake
apple eat look,woman looking at man eating an apple
apple eat look,The ornamental apples looked good enough to eat
apple eat look,young boy eating apple and looking at the globe
cheese eat pizza,A boy eats pizza and macaroni and cheese.
cheese eat pizza,A girl is eating pizza with tomatoes and cheese.
cheese eat pizza,a hot pizza topped with cheese and olives to be eaten
cat mouse mouth,cat has the mouse in mouth
cat mouse mouth,Black cat with mouse in mouth.
cat mouse mouth,hungry cat with a mouse as prey in mouth
fall skateboard skateboarder,The skateboarder fell off his skateboard
fall skateboard skateboarder,A skateboarder is about to fall off his skateboard.
fall skateboard skateboarder,A the skateboarders are falling off their skateboards.
care horse take,taking care for the horse
care horse take,A young girl takes care of a horse.
care horse take,Two women taking care of the two horses.
bathroom shower take,A man is in bathroom taking a shower.
bathroom shower take,White tiled bathroom with blue walls taken from inside shower.
barber give haircut,A barber giving a haircut.
barber give haircut,the barber gives a haircut to a young boy
box fill room,the white room is filled with many boxes
box fill room,stacks of boxes and other items fill a room
box fill room,Two men are playing ping pong in a room filled with boxes.
car highway speed,cars speeding along a highway
car highway speed,A flashy sports car is speeding down the highway.
car highway speed,The car moves faster as they speed off the highway.
dock ship stand,a ship stands by a dock
dock ship stand,some people standing on a dock and a big gray ship
dock ship stand,military men standing on the dock next to a ship .
find look map,look what i found on maps .
find look map,Both are looking at the map to find out the direction.
find look map,tourists stop to look at a map while trying to find their way
room screen wall,A flat screen mounted to a wall in a living room.
room screen wall,rooms are separated by a combination of solid walls and screens
room screen wall,double flat screens mounted on the wall in the conference room .
mountain slope snowboard,The people are on mountain snowboarding down the slope.
mountain slope snowboard,A wintery mountain with someone snowboarding on a slope
add pizza topping,adding toppings to a homemade pizza
add pizza topping,Five pizzas sitting on a counter as toppings are being added.
add pizza topping,children adding toppings to a pizza during the launch of the event .
market produce shop,local people shop for produce at a market .
market produce shop,People are shopping for produce in the market.
market produce shop,An older woman shopping for produce at an open market.
counter restaurant work,Three employees work behind the counter of a restaurant.
counter restaurant work,An older woman is working behind a counter at a restaurant.
counter restaurant work,An empty restaurant with two employees working behind the counter.
beach perform yoga,young woman performing yoga on a beach
beach perform yoga,yoga being performed at sunrise on a beach
beach perform yoga,group of people performing yoga on the beach
audience band concert,An audience at a live concert cheering on the band.
audience band concert,An audience awaits a concert from their favorite band
audience band concert,People in a band are playing a concert for a large audience.
employee restaurant work,The employee works for the restaurant.
employee restaurant work,Two employees working at a restaurant during Dinnertime.
ball cat sleep,cat sleeping in a ball
ball cat sleep,cat is sleeping with a ball of yarn .
ball cat sleep,domestic tabby cat curled into a ball sleeping
ground horse lie,gray horse lying on the ground
ground horse lie,I hope that horse lying the ground is not dead.
ground horse lie,a woman lies on the ground smiling with a horse
bar climb playground,A girl is climbing on some bars at a playground.
bar climb playground,The boy is then seen climbing on monkey bars as well as a man running around the playground.
mirror reflection stare,A cat stares at its reflection in a mirror.
mirror reflection stare,A man is staring at his reflection in the mirror.
mirror reflection stare,beautiful but vain young woman staring intently at her reflection in the mirror .
bathroom lay tile,Man laying tile in his bathroom.
bathroom lay tile,Two young men laying tile in a bathroom.
bathroom lay tile,A cean lookign bathroom is laid out with tile
add bowl sugar,Sugar is added to the bowl.
add bowl sugar,A man is adding sugar to a bowl.
add bowl sugar,She adds soda and sugar to the bowl.
grind park skateboarder,A skateboarder in a park grinding on a rail.
grind park skateboarder,skateboarder grinding down the retaining wall of a park
bridge lake walk,People walk on a small bridge over a lake.
bridge lake walk,people walking along the blue bridge on lake
bridge lake walk,A man is walking under a bridge in a shallow lake.
farmer horse wagon,a farmer in a wagon being pulled by a horse
farmer horse wagon,Horses and a farmer pulling wagons on a farm.
farmer horse wagon,farmers load the hay on a wagon pulled by horses
airport luggage traveler,the travelers wait for their luggage at the airport
airport luggage traveler,A group of travelers walking through an airport with luggage.
airport luggage traveler,travelers with luggage waiting in the lounge of the international airport
dog lie yard,a lazy dog lying in the yard
dog lie yard,"Two dogs, one lying down, play in a yard."
bed sleep watch,A boy sleeping in bed while watching TV.
bed sleep watch,happy parents watching their baby sleeping on a bed at home
bed sleep watch,A young girl sleeping in her bed as her mom is there to watch her
beach couple lay,a couple of people laying out on a beach
beach couple lay,couple laying in the sun on a shingle beach in summer
camel ground lie,camels at the fair ground which lies
camel ground lie,A couple of camels are lying on the ground next to their riders.
family giraffes zoo,looking on family of giraffes at the zoo
family giraffes zoo,A family is visiting a zoo and are looking at the giraffes.
building field middle,old farm buildings in the middle of field
building field middle,A red post in the middle of a field behind a building.
pizza plate table,a plate of pizza on a table
pizza plate table,A table that has three plates of pizza.
pizza plate table,The pizza is on the plate on the table.
meat plate vegetable,We see a plate of meat and vegetables.
meat plate vegetable,Some meat and vegetables are on the plate.
meat plate vegetable,A plate has many vegetables and meats on it
chair couch room,A couch and a chair in a room.
chair couch room,a living room with couches and chairs
chair couch room,A brown couch is the only chair in the room.
beach chair umbrella,chairs and umbrella on a beach
beach chair umbrella,chair with umbrella near the beach
beach chair umbrella,deck chairs with umbrellas on the beach
grass graze horse,horse grazing the grass at sunrise
grass graze horse,a horse grazes on some green grass
grass graze horse,Two horses grazing out in the grass
building clock top,a clock on the top of a building
building clock top,a large building that has a clock at top
building clock top,A tan building with ornate clocks on top.
field graze sheep,sheep grazing in a field
field graze sheep,sheep grazing on the fields
field graze sheep,Six sheep are grazing in an open field
bathroom toilet wall,A toilet in a bathroom next to a wall.
bathroom toilet wall,A bathroom with white walls and a toilet
bathroom toilet wall,two toilets in a bathroom with no privacy walls
station track train,a train on track at station
station track train,train tracks at the train station .
station track train,railroad tracks with trains in the station
piece pizza plate,A piece of pizza is on a plate
piece pizza plate,Two pieces of pizza are on the plate.
piece pizza plate,A plate topped with four pieces of pizza.
park station train,a long red train parked at a station
park station train,intercity train parked in the station
park station train,Sleek train that is parked at the station
lot motorcycle park,A motorcycle is parked on a gravel lot
lot motorcycle park,Motorcycles parked in a wet parking lot.
lot motorcycle park,A lot of motorcycles parked next to each other.
cloud move sky,clouds moving on the sky
cloud move sky,cloud moving in a blue sky
cloud move sky,clouds moving across a sky with trees
look match player,players look during the match .
look match player,tennis player looks on during a match
look match player,soccer player looks on ahead of the match
bridge cross train,a train crossing a bridge .
bridge cross train,the steam train crosses a bridge
bridge cross train,train crossing the railway bridge
airplane cloud fly,airplane flying in the clouds
airplane cloud fly,airplane fly into a storm cloud
airplane cloud fly,An airplane is flying into a puffy cloud.
park track train,train parked on the tracks
park track train,a big train that is parked on a track
park track train,a train parked at the end of some tracks
match player react,player reacts during a match .
match player react,players react after the match .
match player react,football player reacts before the match .
airplane airport park,airplane parked at the airport
airplane airport park,airplanes parked in a row at an airport
airplane airport park,An airplane is parked outside of the airport.
cheese pizza sauce,A plate of pizza with cheese and sauce.
cheese pizza sauce,A pizza with cheese has white sauce on it.
cheese pizza sauce,Two large pizzas covered in sauce and cheese.
track train tree,train tracks through the trees
track train tree,a train on a track near many trees
track train tree,A train on the tracks going by some trees
plane sit tarmac,planes sit on the tarmac
plane sit tarmac,A plane that is sitting on a tarmac.
plane sit tarmac,An old war plane sits on the tarmac.
building track train,a train on a track near a building
building track train,train on elevated tracks within buildings
building track train,A train is on the tracks next to buildings.
model runway walk,models walk the runway as part
model runway walk,fashion model walks the runway
model runway walk,model walk the runway in creations .
fan match player,players greet fans after the match .
fan match player,other players wave at fans at end of the match .
fan match player,football player applauds the fans before a match
cloud sky sun,sun and clouds on the sky
cloud sky sun,sun behind a cloud with blue sky
cloud sky sun,clouds running in the sky with bright sun
grass graze sheep,sheep grazing on the grass
grass graze sheep,a sheep grazes on some green grass
grass graze sheep,a group of sheeps grazing on grass .
field herd sheep,herd of sheep in a field
field herd sheep,A herd of white sheep on an endless green field.
field herd sheep,there are very large herds of sheep on a big field
clock hang wall,a clock hanging on a wall
clock hang wall,an old antique clock hanging on the wall
clock hang wall,A wall of wrenches hung up and a red clock
airport park plane,planes parked at an airport
airport park plane,A US Army plane parked in am airport.
airport park plane,A large plane is parked at the airport.
cheese pizza top,A pizza is topped with sauce and cheese.
cheese pizza top,lastly topping with cheese and assembly of the pizzas
cheese pizza top,Whole fresh baked cheese topped pizza on serving board.
hand keyboard type,hands typing on a keyboard
hand keyboard type,man typing on the keyboard of the hand
hand keyboard type,female hands typing on keyboard of laptop in train .
graze horse pasture,horses graze in a pasture
graze horse pasture,plump horses graze on pasture
graze horse pasture,the horse is grazing in the pasture
bathroom shower tub,A bathroom has a tub but no shower.
bathroom shower tub,front bathroom with shower over tub .
bathroom shower tub,A bathroom with an enclosed tub and shower.
city track train,train on the track in city
city track train,A train on tracks outside of a city
city track train,A train going down the track near a city
drive track train,A train is driving on the tracks.
drive track train,Many trains drive on top of train tracks.
drive track train,Two white trains drive along the train track.
bridge train travel,A blue train traveling over a  bridge.
bridge train travel,Two trains travel on tracks on a bridge
bridge train travel,Two fast trains travel along an old bridge.
boat bridge pass,boats pass an open bridge
boat bridge pass,boat passing under a bridge
boat bridge pass,boat passes under the bridge
chair table window,a table with chairs near a window
chair table window,reclining chair and table by the window
cloud day sky,sky with clouds on a sunny day
cloud day sky,blue sky in a cloud covered day
cloud day sky,clouds and skies in the sunny day
field flock sheep,flock of sheep in a field
field flock sheep,flock of sheep lying on the field
field flock sheep,flock of sheep grazing on a green field in the countryside
flower garden grow,flowers grown in a garden
flower garden grow,dahlia flower growing in the garden
flower garden grow,fast growing flowers for your garden .
couch fireplace room,A couch in a living room by a fireplace.
couch fireplace room,There is a room with a fireplace and couches.
bathroom mirror wall,A mirror on a wall in a bathroom.
bathroom mirror wall,a bathroom with pink walls and a big mirror
bathroom mirror wall,A bathroom decorated with mirrors on the wall.
building top tower,water tower on top of a building
building top tower,the tower and small building at the top .
building top tower,a large building with a clock tower at top.
stop track train,train which has stopped on tracks
stop track train,trains stop high speed on the tracks
stop track train,a very long train stopped on the track
pizza table topping,a pizza with toppings on it on a table
pizza table topping,The pizza on the table has many toppings.
pizza table topping,A pizza with topping that has been served to a table
cake decorate flower,a cake decorated by flowers .
cake decorate flower,decorating the wedding cake with flowers
cake decorate flower,learn how to decorate a cake with flowers
fish market sale,fish for sale the market
fish market sale,fish for sale in a market
fish market sale,fish on sale in the market
front track train,front of a train on the tracks
front track train,Train comes down tracks in front of old castle.
front track train,A train with a yellow front next to an empty track.
coffee cup donut,a cup of coffee and a donut
coffee cup donut,cup of coffee with donuts on the wood .
coffee cup donut,Two plain donuts next to a cup of coffee.
cattle field herd,herd of cattle in a field
cattle field herd,A herd of cattle grazing on lush green field.
cattle field herd,couple out in the field checking on herd of cattle
bathroom hang towel,towel hangs on the wall in bathroom
bathroom hang towel,There is a towel hanging in the bathroom.
bathroom hang towel,An all white bathroom with a hanging towel
library student study,students study in the library
library student study,a student studying in a library
library student study,student studying at the library
graze horse meadow,horses graze in a meadow
graze horse meadow,horse grazing on a meadow
graze horse meadow,horse grazing the grass in the meadow
countryside train travel,train traveling through the countryside
countryside train travel,travelling on a train through countryside .
countryside train travel,A train traveling along a lush green countryside.
cloud mountain sky,mountain under the blue sky with clouds .
cloud mountain sky,wide shot of clouds in the sky and mountains
cloud mountain sky,trees on a mountain under white clouds in the sky .
station train travel,train on the station who travel
station train travel,A red train traveling down a train station.
station train travel,An electric train traveling next to its station
couch room wall,a living room with couches near a wall
couch room wall,This living room has a gray couch and blue walls
couch room wall,A room with three TVs in the wall and a large couch.
airplane airport sit,airplanes sit at a flooded airport .
airplane airport sit,An airplane sits on a runway in a airport
airplane airport sit,A twin engine airplane sitting at an airport.
computer generate image,computer generated image of cockpit
computer generate image,a computer generated image of the new building
computer generate image,computer generated image of ship class for armed force
airplane airport take,airplane taking off in the airport
airplane airport take,An airplane is taking off at an airport.
airplane airport take,an airplane takes off from a nearby airport .
dock port ship,a ship docked in port
dock port ship,ships dock at the port
dock port ship,ship docked on the commercial port
rise sky sun,sun rising in the sky
rise sky sun,sun rising through shiny fog on the sky
rise sky sun,animation of sun rising on a clear sky .
athlete medal win,olympic athlete won gold medals
athlete medal win,a happy athlete just won two medals
athlete medal win,man wins the gold medal ahead of athletes
airport plane sit,a plane sits at an airport .
airport plane sit,There is a plane sitting at the airport.
airport plane sit,planes sit on the tarmac at an airport .
concert perform singer,A singer performs at a concert
concert perform singer,singer performs in the concert
concert perform singer,singers perform during a concert
celebrate family holiday,A family celebrating a holiday
celebrate family holiday,a family celebrate the holidays
celebrate family holiday,a family celebrates holiday with fireworks
chair dog lay,A dog lays on a reclining chair.
